abode	abide
arisen	arise
awoken	awake
beaten	beat
become	become
been	be
befallen	befall
begotten	beget
begun	begin
beheld	behold
bent	bend
bereft	bereave
beset	beset
besought	beseech
bespoken	bespeak
bestridden	bestride
bet	bet
bid	bid
bitten	bite
bled	bleed
blown	blow
born	bear
bought	buy
bound	bind
bred	breed
broadcast	broadcast
broken	break
brought	bring
built	build
burnt	burn
burst	burst
cast	cast
caught	catch
chosen	choose
clung	cling
come	come
cost	cost
crept	creep
cut	cut
dealt	deal
done	do
drawn	draw
dreamt	dream
driven	drive
drunk	drink
dug	dig
dwelt	dwell
eaten	eat
fallen	fall
fed	feed
felt	feel
fled	flee
flown	fly
flung	fling
forbidden	forbid
forecast	forecast
foreseen	foresee
foretold	foretell
forgiven	forgive
forgotten	forget
forsaken	forsake
fought	fight
found	find
frozen	freeze
given	give
gone	go
got	get
ground	grind
grown	grow
had	have
heard	hear
held	hold
hidden	hide
hit	hit
hung	hang
hurt	hurt
interwoven	interweave
kept	keep
knelt	kneel
known	know
laid	lay
leant	lean
leapt	leap
learnt	learn
led	lead
left	leave
lent	lend
let	let
lost	lose
made	make
meant	mean
met	meet
mistaken	mistake
overheard	overhear
overseen	oversee
overslept	oversleep
paid	pay
proven	prove
put	put
read	read
rent	rend
rid	rid
ridden	ride
risen	rise
run	run
rung	ring
said	say
sat	sit
seen	see
sent	send
set	set
shaken	shake
shed	shed
shit	shit
shod	shoe
shone	shine
shot	shoot
shown	show
shriven	shrive
shrunk	shrink
shut	shut
slain	slay
slept	sleep
slid	slide
slit	slit
slung	sling
slunk	slink
smelt	smell
smitten	smite
sold	sell
sought	seek
spat	spit
sped	speed
spent	spend
split	split
spoilt	spoil
spoken	speak
spread	spread
sprung	spring
spun	spin
stolen	steal
stood	stand
stridden	stride
striven	strive
struck	strike
strung	string
stuck	stick
stung	sting
stunk	stink
sung	sing
sunk	sink
swept	sweep
sworn	swear
swum	swim
swung	swing
taken	take
taught	teach
thought	think
thrown	throw
thrust	thrust
told	tell
torn	tear
trodden	tread
understood	understand
undertaken	undertake
undone	undo
upheld	uphold
upset	upset
wept	weep
withdrawn	withdraw
withheld	withhold
withstood	withstand
woken	wake
won	win
worn	wear
wound	wind
woven	weave
written	write
wrung	wring
